"Dist Code","Year","State Code","State Name","Dist Name","Crop Name","Area (1000 ha)"
1,1999,14,"Chhattisgarh","Durg","Fodder",0.28
1,1999,14,"Chhattisgarh","Durg","Fruits",3.15
1,1999,14,"Chhattisgarh","Durg","Onions",0.5
1,1999,14,"Chhattisgarh","Durg","Potatoes",0.15
1,1999,14,"Chhattisgarh","Durg","Vegetables",23.8
1,2000,14,"Chhattisgarh","Durg","Fodder",0.0
1,2000,14,"Chhattisgarh","Durg","Fruits",3.16
1,2000,14,"Chhattisgarh","Durg","Onions",0.42
1,2000,14,"Chhattisgarh","Durg","Potatoes",0.12
1,2000,14,"Chhattisgarh","Durg","Vegetables",24.42
1,2001,14,"Chhattisgarh","Durg","Fodder",0.15
1,2001,14,"Chhattisgarh","Durg","Fruits",2.96
1,2001,14,"Chhattisgarh","Durg","Onions",0.6
1,2001,14,"Chhattisgarh","Durg","Potatoes",0.1
1,2001,14,"Chhattisgarh","Durg","Vegetables",26.64
1,2002,14,"Chhattisgarh","Durg","Fodder",0.15
1,2002,14,"Chhattisgarh","Durg","Fruits",2.87
1,2002,14,"Chhattisgarh","Durg","Onions",0.51
1,2002,14,"Chhattisgarh","Durg","Potatoes",0.09
1,2002,14,"Chhattisgarh","Durg","Vegetables",26.54
1,2003,14,"Chhattisgarh","Durg","Fodder",0.11
1,2003,14,"Chhattisgarh","Durg","Fruits",2.8
1,2003,14,"Chhattisgarh","Durg","Onions",0.63
1,2003,14,"Chhattisgarh","Durg","Potatoes",0.12
1,2003,14,"Chhattisgarh","Durg","Vegetables",26.68
1,2004,14,"Chhattisgarh","Durg","Fodder",0.16
1,2004,14,"Chhattisgarh","Durg","Fruits",2.66
1,2004,14,"Chhattisgarh","Durg","Onions",0.6
1,2004,14,"Chhattisgarh","Durg","Potatoes",0.1
1,2004,14,"Chhattisgarh","Durg","Vegetables",27.75
1,2005,14,"Chhattisgarh","Durg","Fodder",0.13
1,2005,14,"Chhattisgarh","Durg","Fruits",2.57
1,2005,14,"Chhattisgarh","Durg","Onions",0.57
1,2005,14,"Chhattisgarh","Durg","Potatoes",0.12
1,2005,14,"Chhattisgarh","Durg","Vegetables",28.64
1,2006,14,"Chhattisgarh","Durg","Fodder",0.09
1,2006,14,"Chhattisgarh","Durg","Fruits",2.43
1,2006,14,"Chhattisgarh","Durg","Onions",0.51
1,2006,14,"Chhattisgarh","Durg","Potatoes",0.09
1,2006,14,"Chhattisgarh","Durg","Vegetables",29.03
1,2007,14,"Chhattisgarh","Durg","Fodder",0.13
1,2007,14,"Chhattisgarh","Durg","Fruits",2.26
1,2007,14,"Chhattisgarh","Durg","Onions",0.39
1,2007,14,"Chhattisgarh","Durg","Potatoes",0.1
1,2007,14,"Chhattisgarh","Durg","Vegetables",30.42
1,2008,14,"Chhattisgarh","Durg","Fodder",0.1
1,2008,14,"Chhattisgarh","Durg","Fruits",2.16
1,2008,14,"Chhattisgarh","Durg","Onions",0.41
1,2008,14,"Chhattisgarh","Durg","Potatoes",0.16
1,2008,14,"Chhattisgarh","Durg","Vegetables",31.68
1,2009,14,"Chhattisgarh","Durg","Fodder",0.06
1,2009,14,"Chhattisgarh","Durg","Fruits",2.19
1,2009,14,"Chhattisgarh","Durg","Onions",0.51
1,2009,14,"Chhattisgarh","Durg","Potatoes",4.31
1,2009,14,"Chhattisgarh","Durg","Vegetables",30.75
1,2010,14,"Chhattisgarh","Durg","Fodder",0.15
1,2010,14,"Chhattisgarh","Durg","Fruits",2.0
1,2010,14,"Chhattisgarh","Durg","Onions",0.49
1,2010,14,"Chhattisgarh","Durg","Potatoes",0.11
1,2010,14,"Chhattisgarh","Durg","Vegetables",32.29
1,2011,14,"Chhattisgarh","Durg","Fodder",0.0
1,2011,14,"Chhattisgarh","Durg","Fruits",0.0
1,2011,14,"Chhattisgarh","Durg","Onions",0.54
1,2011,14,"Chhattisgarh","Durg","Potatoes",0.12
1,2011,14,"Chhattisgarh","Durg","Vegetables",0.0
1,2012,14,"Chhattisgarh","Durg","Fodder",1.32
1,2012,14,"Chhattisgarh","Durg","Fruits",1.99
1,2012,14,"Chhattisgarh","Durg","Onions",0.54
1,2012,14,"Chhattisgarh","Durg","Potatoes",0.12
1,2012,14,"Chhattisgarh","Durg","Vegetables",33.7
1,2013,14,"Chhattisgarh","Durg","Fodder",0.77
1,2013,14,"Chhattisgarh","Durg","Fruits",1.9
1,2013,14,"Chhattisgarh","Durg","Onions",0.5
1,2013,14,"Chhattisgarh","Durg","Potatoes",0.11
1,2013,14,"Chhattisgarh","Durg","Vegetables",32.83
1,2014,14,"Chhattisgarh","Durg","Fodder",0.0
1,2014,14,"Chhattisgarh","Durg","Fruits",0.0
1,2014,14,"Chhattisgarh","Durg","Onions",0.51
1,2014,14,"Chhattisgarh","Durg","Potatoes",0.33
1,2014,14,"Chhattisgarh","Durg","Vegetables",0.0
1,2015,14,"Chhattisgarh","Durg","Fodder",1.83
1,2015,14,"Chhattisgarh","Durg","Fruits",0.0
1,2015,14,"Chhattisgarh","Durg","Onions",0.46
1,2015,14,"Chhattisgarh","Durg","Potatoes",0.16
1,2015,14,"Chhattisgarh","Durg","Vegetables",0.0
1,2016,14,"Chhattisgarh","Durg","Fodder",0.05
1,2016,14,"Chhattisgarh","Durg","Fruits",2.14
1,2016,14,"Chhattisgarh","Durg","Onions",0.37
1,2016,14,"Chhattisgarh","Durg","Potatoes",0.05
1,2016,14,"Chhattisgarh","Durg","Vegetables",39.44
1,2017,14,"Chhattisgarh","Durg","Fodder",0.0
1,2017,14,"Chhattisgarh","Durg","Fruits",0.0
1,2017,14,"Chhattisgarh","Durg","Onions",0.19
1,2017,14,"Chhattisgarh","Durg","Potatoes",0.08
1,2017,14,"Chhattisgarh","Durg","Vegetables",0.0
2,1966,14,"Chhattisgarh","Bastar","Fodder",0.0
2,1966,14,"Chhattisgarh","Bastar","Fruits",1.4
2,1966,14,"Chhattisgarh","Bastar","Onions",0.18
2,1966,14,"Chhattisgarh","Bastar","Potatoes",0.06
2,1966,14,"Chhattisgarh","Bastar","Vegetables",3.44
2,1967,14,"Chhattisgarh","Bastar","Fodder",1.73
2,1967,14,"Chhattisgarh","Bastar","Fruits",2.1
2,1967,14,"Chhattisgarh","Bastar","Onions",0.17
2,1967,14,"Chhattisgarh","Bastar","Potatoes",0.06
2,1967,14,"Chhattisgarh","Bastar","Vegetables",3.1
2,1968,14,"Chhattisgarh","Bastar","Fodder",1.53
2,1968,14,"Chhattisgarh","Bastar","Fruits",2.23
2,1968,14,"Chhattisgarh","Bastar","Onions",0.16
2,1968,14,"Chhattisgarh","Bastar","Potatoes",0.06
2,1968,14,"Chhattisgarh","Bastar","Vegetables",3.1
2,1969,14,"Chhattisgarh","Bastar","Fodder",1.52
2,1969,14,"Chhattisgarh","Bastar","Fruits",2.13
2,1969,14,"Chhattisgarh","Bastar","Onions",0.17
2,1969,14,"Chhattisgarh","Bastar","Potatoes",0.08
2,1969,14,"Chhattisgarh","Bastar","Vegetables",3.49
2,1970,14,"Chhattisgarh","Bastar","Fodder",0.66
2,1970,14,"Chhattisgarh","Bastar","Fruits",2.17
2,1970,14,"Chhattisgarh","Bastar","Onions",0.18
2,1970,14,"Chhattisgarh","Bastar","Potatoes",0.06
2,1970,14,"Chhattisgarh","Bastar","Vegetables",3.8
2,1971,14,"Chhattisgarh","Bastar","Fodder",0.52
2,1971,14,"Chhattisgarh","Bastar","Fruits",1.83
2,1971,14,"Chhattisgarh","Bastar","Onions",0.2
2,1971,14,"Chhattisgarh","Bastar","Potatoes",0.07
2,1971,14,"Chhattisgarh","Bastar","Vegetables",4.15
2,1972,14,"Chhattisgarh","Bastar","Fodder",0.23
2,1972,14,"Chhattisgarh","Bastar","Fruits",2.09
2,1972,14,"Chhattisgarh","Bastar","Onions",0.2
2,1972,14,"Chhattisgarh","Bastar","Potatoes",0.06
2,1972,14,"Chhattisgarh","Bastar","Vegetables",4.1
2,1973,14,"Chhattisgarh","Bastar","Fodder",0.08
2,1973,14,"Chhattisgarh","Bastar","Fruits",1.83
2,1973,14,"Chhattisgarh","Bastar","Onions",0.19
2,1973,14,"Chhattisgarh","Bastar","Potatoes",0.06
2,1973,14,"Chhattisgarh","Bastar","Vegetables",4.52
